resume_skills,jd_skills,critical_skills,skill_match_percentage,critical_skill_match_percentage,missing_skills_count,critical_missing_skills_count,readiness_label
"['Tableau', 'Statistics', 'Spring Boot', 'Python']","['Java', 'Python', 'Communication', 'AWS', 'Power BI']","['Power BI', 'Communication']",20.0,0.0,4,2,Not Ready Yet
"['Spring Boot', 'Python', 'Docker', 'Machine Learning', 'Tableau', 'Power BI']","['SQL', 'Power BI', 'Java', 'Excel']",['SQL'],25.0,0.0,3,1,Not Ready Yet
"['Spring Boot', 'AWS', 'Machine Learning']","['AWS', 'Power BI', 'Python', 'Communication', 'Tableau', 'Statistics', 'SQL']","['Communication', 'Tableau']",14.285714285714285,0.0,6,2,Not Ready Yet
"['SQL', 'Excel', 'Power BI', 'Spring Boot', 'Tableau', 'AWS']","['Spring Boot', 'Excel', 'Java', 'Python']","['Excel', 'Java']",50.0,50.0,2,1,Needs Improvement
"['Python', 'Communication', 'Spring Boot', 'Power BI', 'Java']","['Statistics', 'AWS', 'Spring Boot', 'Machine Learning', 'Python', 'Power BI']",['AWS'],50.0,0.0,3,1,Needs Improvement
"['Tableau', 'Java', 'AWS', 'Communication']","['Python', 'Docker', 'Excel', 'Java', 'SQL', 'Statistics', 'Tableau']","['Docker', 'Java']",28.57142857142857,50.0,5,1,Not Ready Yet
"['Python', 'Communication', 'AWS', 'Spring Boot', 'Docker', 'Java']","['Tableau', 'Communication', 'AWS', 'Docker', 'Statistics']","['Tableau', 'Docker']",60.0,50.0,2,1,Moderately Ready
"['Docker', 'Tableau', 'AWS', 'Python', 'Java', 'Power BI']","['Tableau', 'Excel', 'Spring Boot', 'Statistics', 'Docker', 'Java', 'Power BI']",['Java'],57.14285714285714,100.0,3,0,Moderately Ready
"['Power BI', 'Java', 'AWS']","['SQL', 'Communication', 'Tableau', 'Java', 'Power BI', 'Excel', 'AWS']","['AWS', 'Excel']",42.857142857142854,50.0,4,1,Needs Improvement
"['Tableau', 'Power BI', 'Docker', 'Spring Boot']","['Excel', 'Communication', 'Statistics', 'AWS', 'Spring Boot', 'Python', 'Docker']","['Spring Boot', 'Statistics']",28.57142857142857,50.0,5,1,Not Ready Yet
"['Spring Boot', 'Python', 'Machine Learning', 'Java', 'Docker']","['Tableau', 'Statistics', 'Power BI', 'Python', 'Machine Learning']","['Statistics', 'Tableau']",40.0,0.0,3,2,Needs Improvement
"['Java', 'SQL', 'Communication', 'Tableau']","['Java', 'Excel', 'Machine Learning', 'Python', 'AWS', 'Tableau', 'Docker']",['Docker'],28.57142857142857,0.0,5,1,Not Ready Yet
"['Excel', 'Communication', 'Machine Learning']","['Java', 'Tableau', 'AWS', 'Machine Learning', 'Spring Boot', 'Excel', 'Communication']",['Tableau'],42.857142857142854,0.0,4,1,Needs Improvement
"['Java', 'Power BI', 'AWS', 'Python', 'Tableau']","['Docker', 'Machine Learning', 'Power BI', 'Communication', 'AWS']","['Communication', 'Power BI']",40.0,50.0,3,1,Needs Improvement
"['Java', 'Python', 'Tableau']","['Java', 'Tableau', 'AWS', 'Statistics', 'Power BI', 'Python']",['Python'],50.0,100.0,3,0,Needs Improvement
"['Docker', 'AWS', 'SQL', 'Communication', 'Spring Boot', 'Python']","['AWS', 'Power BI', 'Tableau', 'Excel', 'Spring Boot', 'Machine Learning', 'Python']","['Excel', 'AWS']",42.857142857142854,50.0,4,1,Needs Improvement
"['Java', 'Docker', 'AWS', 'SQL']","['Statistics', 'Spring Boot', 'AWS', 'Docker', 'SQL', 'Machine Learning', 'Power BI']",['Machine Learning'],42.857142857142854,0.0,4,1,Needs Improvement
"['Power BI', 'Docker', 'Python', 'Statistics', 'SQL', 'Excel']","['Machine Learning', 'Java', 'Power BI', 'AWS', 'Docker', 'Communication', 'Statistics']",['Power BI'],42.857142857142854,100.0,4,0,Needs Improvement
"['Power BI', 'Python', 'Java', 'Communication']","['Power BI', 'Python', 'Machine Learning', 'Communication']","['Communication', 'Machine Learning']",75.0,50.0,1,1,Moderately Ready
"['Statistics', 'Python', 'Excel', 'Machine Learning', 'Communication', 'Power BI']","['Power BI', 'Python', 'Tableau', 'Spring Boot']",['Python'],50.0,100.0,2,0,Needs Improvement
"['Spring Boot', 'Excel', 'AWS', 'Power BI', 'Machine Learning']","['Excel', 'Statistics', 'Tableau', 'SQL', 'Communication']","['Tableau', 'Communication']",20.0,0.0,4,2,Not Ready Yet
"['Communication', 'AWS', 'Excel', 'Tableau', 'Spring Boot']","['Python', 'Spring Boot', 'Statistics', 'Java', 'SQL', 'AWS', 'Excel']",['Spring Boot'],42.857142857142854,100.0,4,0,Needs Improvement
"['Statistics', 'Power BI', 'Excel', 'SQL', 'Machine Learning', 'Java']","['Power BI', 'Spring Boot', 'Python', 'Communication', 'SQL']","['SQL', 'Python']",40.0,50.0,3,1,Needs Improvement
"['Java', 'Power BI', 'SQL']","['Machine Learning', 'Power BI', 'Spring Boot', 'SQL']",['Machine Learning'],50.0,0.0,2,1,Needs Improvement
"['Docker', 'Tableau', 'Power BI']","['Spring Boot', 'Docker', 'Statistics', 'Communication', 'AWS']","['Communication', 'Docker']",20.0,50.0,4,1,Not Ready Yet
"['Docker', 'Python', 'Java']","['SQL', 'Spring Boot', 'Python', 'Power BI', 'Machine Learning', 'Tableau', 'AWS']",['Power BI'],14.285714285714285,0.0,6,1,Not Ready Yet
"['Statistics', 'AWS', 'SQL', 'Power BI']","['Docker', 'Excel', 'AWS', 'SQL', 'Java', 'Machine Learning']","['SQL', 'Docker']",33.33333333333333,50.0,4,1,Needs Improvement
"['Power BI', 'Java', 'Statistics', 'Docker', 'Machine Learning', 'Python']","['SQL', 'Tableau', 'Spring Boot', 'Python', 'Statistics', 'Power BI', 'Machine Learning']",['Tableau'],57.14285714285714,0.0,3,1,Moderately Ready
"['Excel', 'AWS', 'Power BI', 'Spring Boot', 'Communication']","['Excel', 'Communication', 'Machine Learning', 'Spring Boot', 'Power BI', 'Statistics', 'Tableau']",['Communication'],57.14285714285714,100.0,3,0,Moderately Ready
"['Java', 'Spring Boot', 'Power BI']","['Spring Boot', 'Tableau', 'SQL', 'Statistics', 'Power BI', 'Docker']","['SQL', 'Docker']",33.33333333333333,0.0,4,2,Needs Improvement
